Lake,WaterbodyID,Region,Longitude,Latitude,Elevation (m ASL),Surface area (ha),MAT,MWMT,MCMT,DD_0,DD5,DD_18,DD18,NFFD,Mean_depth,Max_depth,Volume (km3),TDS (mg_L),MEI (TDS/depth),Road Access,Effort,Effort.ha,CaughtFish,Caught.ha,CPUE,Other_Info,Classification,Fetch..m.,Minimum Travel Time,Guiding,Provincial.Park.Campgrounds.and.Rec.Sites,Private.Lots,Lodges.and.Marinas,Permits.and.Leases.for.Camps.and.Cabins,Indian.Reserves,FN.netting,Comment,Exploitation_Rank,Road.Surface,ROAD_ACCES,Distance.to.Nearest.Road..m.,Time.to.Nearest.Road..minutes.,ROAD_NAM_1,Length.of.Nearest.Road.Segment..m.,ROAD_CLASS
Spirit,YT_Spirit,Yukon,-134.73883,60.2522,685,67,-1.9,12.4,-18.4,2126,717,7220,7,115,NA,NA,NA,NA,NA,PR,NA,NA,NA,NA,NA,,,2139.549211,0.14,No,Yes,Yes,Yes,Yes,No,No,0,5,Paved,Known Road Acess,199.17,1.98,Klondike Highway,2963.12,Expressway *
Squanga,YT_Squanga,Yukon,-133.639947,60.4778,790,1020,-2.6,12.2,-19.8,2335,663,7473,6,106,9.2,42,0.094,126.5,13.75,PR,NA,NA,NA,NA,NA,,General Regulations,8693.644846,0.55,No,Yes,No,No,Yes,No,No,"Medium-size lake, lake trout absent, easy access",4,Unpaved,Known Road Acess,46.51,0.27,None,133.4,Local / Str*
Stephen Lake,01097WILL,Omineca,-121.7981025,53.38599545,934,109.9063785,2.7,13.5,-9.4,1003,996,5557,15,150,9,18,0.009891574,54,6,NR,NA,NA,NA,NA,NA,,,1751.587244,2.08,No,0,0,0,0,0,No,,3,rough,Known Road Acess,61.71,0.52,,87,unclassified
Stevens,YT_Stevens,Yukon,-137.514342,61.7212,930,709,-4.2,11.9,-21.3,2834,596,8077,5,101,5.67,18,0.04,45,7.936507937,FR,NA,NA,NA,NA,NA,,General Regulations,7758.359826,4.14,No,Yes,No,No,No,No,No,"Small lake, moderate-low yield, unknown population size, accessible but likely low pressure",4,Unpaved,Possible Road Access,2518.29,36.02,Aishihik Lake Road,18012.4,Local / Str*
Stewart,YT_Stewart,Yukon,-128.67918,60.6316,777,1041,-3.3,13.4,-22.9,2727,787,7725,9,113,15.1,75,0.157,106,7.01986755,NR,NA,NA,NA,NA,NA,,General Regulations,8269.789267,NA,Yes,No,No,Yes,No,No,No,"Medium-size lake, moderate-low yield, medium sized population, remote, lodge but low pressure ",2,NA,NA,NA,NA,NA,NA,NA
Stokes,YT_Stokes,Yukon,-133.768333,62.865,664,1390,-1.9,14.4,-20.7,2384,896,7253,15,127,26.8,50,0.373,95,3.544776119,NR,NA,NA,NA,NA,NA,,General Regulations,13995.03449,NA,Yes,No,No,No,No,No,No,"Medium-size lake, remote, lake trout likely absent, unknown pressure ",2,NA,NA,NA,NA,NA,NA,NA
Stony Lake,01017WILL,Omineca,-121.8556032,53.4149556,930,876.5372988,2.8,13.8,-9.5,1008,1033,5521,17,149,10,22,0.08765373,32,3.2,FR,NA,NA,NA,NA,NA,,,8061.509281,1.86,No,4,1,0,0,0,No,,3,loose,Known Road Acess,3.45,0.35,,230.97,unclassified
Stuart Lake,00251STUL,Omineca,-124.503303,54.51131675,681,35918.89985,2.6,14.6,-11.6,1168,1121,5603,22,152,20,96.6,7.183779971,86,4.3,PR,NA,NA,NA,NA,NA,,,70289.68755,0.02,Yes,2,543,3,0,14,No,Probably more informal access points than we know of,5,loose,Known Road Acess,32.92,0.17,,110.59,unclassified
Sulphurous Lake,00252BRID,Cariboo,-120.8482401,51.62984727,1113,379.6191482,3.1,13.6,-8.6,942,1034,5440,16,143,15,46.9,0.056942872,386,25.73333333,PR,NA,NA,NA,NA,NA,,,5123.530315,0.66,Yes,1,129,1,0,0,No,sulpherous lake resort,4,loose,Known Road Acess,23.84,0.46,,304.99,unclassified
Summit Lake,00019MMUS,Peace,-124.6737084,58.64449,1281,28.84501406,-1.6,10.8,-14.3,1849,559,7139,4,112,3,5.5,0.00086535,160,53.33333333,PR,NA,NA,NA,NA,NA,,,1875.830137,1.42,No,2,172,0,1,1,No,2 access points boat launch day-use; 1 FN,3,loose,Known Road Acess,3.01,0.03,Summit Lake Campground Access Rd,21.24,recreation
Summit Lake,00659TUTR,Skeena,-135.1272045,59.64992433,883,161.9036901,-1.7,9.9,-14.5,1765,437,7173,2,115,6.39,NA,0.010345646,NA,NA,PR,NA,NA,NA,NA,NA,,,7616.037748,0.06,No,0,1,0,2,0,No,,4,paved,Known Road Acess,0,3.46,Klondike Hwy,5760.46,highway
Summit Lake,01327CRKD,Omineca,-122.6626383,54.27497163,708,1313.717455,3,14.6,-10.7,1083,1161,5452,24,161,6,16,0.078823047,53,8.833333333,PR,NA,NA,NA,NA,NA,,,7690.426429,0.85,No,1,0,0,0,0,No,Provincial Park campground,3,rough,Known Road Acess,29.1,4.27,,711.94,unclassified
Surprise,YT_Surprise,Yukon,-133.34436,60.5426,786,23,-2.1,12.8,-20.4,2290,748,7309,8,115,NA,NA,NA,NA,NA,FR,NA,NA,NA,NA,NA,,,807.9296758,NA,No,No,No,No,No,No,No,0,1,NA,NA,NA,NA,NA,NA,NA
Swan Lake,00186SWIR,Skeena,-128.6807126,55.79895726,525,1738.060655,3.2,14.1,-8.4,913,1050,5387,18,172,23,64,0.399753951,23,1,FR,NA,NA,NA,NA,NA,,,9268.43779,2,Yes,0,0,0,1,0,No,,2,rough,Possible Road Access,3263.2,1.24,,205.89,unclassified
Swift Lake,00334SWIR,Skeena,-131.8647923,59.80917268,773,445.7376293,-2.1,12.6,-19.4,2264,733,7313,7,117,12,30.5,0.053488516,70,5.833333333,FR,NA,NA,NA,NA,NA,,,3561.83185,NA,Yes,0,0,0,0,0,No,untenured cabin,2,NA,NA,NA,NA,NA,NA,NA
Swim (West),YT_Swim West,Yukon,-132.961914,62.192,898,530,-2.8,14,-21.2,2619,833,7577,12,121,NA,NA,NA,NA,NA,NR,NA,NA,NA,NA,NA,,,4512.473458,NA,No,No,No,No,No,No,No,0,1,NA,NA,NA,NA,NA,NA,NA
Swinton Lake,01281MDEA,Skeena,-129.8789873,58.5342575,1035,219.3882646,-1.3,11.2,-15.3,1847,610,7029,5,114,8.33,NA,0.018275042,116,13.92557023,NR,NA,NA,NA,NA,NA,,,3772.13684,NA,No,0,0,0,0,0,No,,1,NA,NA,NA,NA,NA,NA,NA
Tacheeda North Lake,00544PARS,Omineca,-122.5211652,54.71449804,733,201.8948188,2.1,14.1,-11.6,1249,1074,5777,19,151,18,66,0.036341067,52,2.888888889,FR,NA,NA,NA,NA,NA,,,3012.724828,1.54,No,2,1,0,1,0,No,1 cabin on lake (trapper?),3,rough,Known Road Acess,9.84,0.21,,35.73,unclassified
Tacheeda South Lake,00582PARS,Omineca,-122.546877,54.69932416,734,362.3511086,2.2,14.2,-11.5,1231,1087,5741,19,152,10.23,48,0.037068518,52,5.083088954,FR,NA,NA,NA,NA,NA,,,5946.851176,1.5,No,2,1,0,0,1,No,,3,rough,Known Road Acess,54.8,2.36,,393.96,unclassified
Tadru,YT_Tadru,Yukon,-135.698218,62.4679,755,1360,-3.2,13.4,-22.3,2652,756,7689,9,108,28.2,53,0.384,91,3.226950355,NR,NA,NA,NA,NA,NA,,General Regulations,6405.642265,NA,Yes,No,No,No,No,No,No,"Medium-sizedl lake, moderate yield, medium sized population, remote, likely low pressure",2,NA,NA,NA,NA,NA,NA,NA
Tagetochlain Lake,00797FRAN,Skeena,-126.9889726,54.00061831,827,1078.987936,2,12.7,-9.9,1111,882,5821,11,139,22,60.95,0.237377346,80,3.636363636,FR,NA,NA,NA,NA,NA,,,12777.18095,1.73,Yes,2,0,0,0,0,No,,2,rough,Known Road Acess,18.49,1.06,,177.33,unclassified
Tagish,00002TUTR,SkeenaYT,-134.294839,59.8485,655,35460,-0.6,12.9,-16.2,1821,795,6766,9,131,62,307,21.8,62,1,PR,6888,0.194247039,1742,0.049125776,0.2529036,"Historic high harvest for mink ranching, CTFN",Conservation Water,95232.22487,0.17,Yes,0,12,0,0,0,No,other features in Yukon portion,4,Unpaved,Known Road Acess,111.69,0.57,Beech Front Road,283.12,Local / Str*
Taint Lake,00052JENR,Skeena,-131.0318606,59.63668427,1225,195.5530199,-3,9.9,-16,2181,429,7637,2,98,6.74,NA,0.013180274,NA,NA,NR,NA,NA,NA,NA,NA,,,4280.725841,NA,No,0,0,0,0,0,No,,1,NA,NA,NA,NA,NA,NA,NA
Takatoot Lake,00036MIDR,Omineca,-125.2112753,55.1102383,888,741.3512383,1.5,13.1,-11.5,1289,888,6009,11,144,13,43.3,0.096375661,60,4.615384615,FR,NA,NA,NA,NA,NA,,,6161.696075,3.03,No,1,0,0,0,0,No,,4,rough,Known Road Acess,19.16,1.1,,182.82,unclassified
Takla Lake,00023MIDR,Omineca,-125.8769367,55.20611614,688,24629.11558,2.4,13.9,-10.8,1124,1011,5677,16,151,107,286.8,26.35315367,69,0.644859813,FR,NA,NA,NA,NA,NA,,,86525.53768,3.48,Yes,2,79,0,1,8,No,,2,loose,Known Road Acess,67.55,0.3,Lake Shore Dr,198.38,local
Taltapin Lake,02504BABL,Skeena,-125.3229284,54.31790807,867,2105.137444,2.3,13.4,-10,1092,941,5729,13,147,40,95.7,0.842054977,88,2.2,FR,NA,NA,NA,NA,NA,,,15802.92148,0.88,No,3,0,0,1,0,No,,3,rough,Known Road Acess,57.18,2.03,,338.26,unclassified
Tanglechain Lake,00754BABL,Skeena,-126.5416934,54.93494527,877,100.2005904,1.9,12.8,-10.3,1115,869,5843,10,142,3,7,0.003006018,43,14.33333333,FR,NA,NA,NA,NA,NA,,,1632.231609,1.25,No,1,0,0,0,0,No,,3,rough,Known Road Acess,50.77,1.74,,290.5,unclassified
Tarfu,YT_Tarfu,Yukon,-133.720613,60.0568,764,419,-1.5,12.6,-18,2041,735,7106,7,117,11.6,33,0.049,108,9.310344828,PR,3141,7.496420048,509,1.214797136,0.162050302,"Depleted population, previous commercial and domestic fisheries, CTFN",Special Management Water,4464.936407,0.28,No,Yes,Yes,Yes,Yes,No,No,"Small lake, moderate-low yield, small population, high pressure, overharvested",5,Unpaved,Known Road Acess,71.52,7.75,Tarfu Lake Road,3874.16,Local / Str*
Tasa Lake,00001CHIL,Omineca,-123.8589692,53.68702349,1165,150.0540444,1.3,12.9,-11.9,1314,862,6082,10,139,9,35.1,0.013504864,486,54,NR,NA,NA,NA,NA,NA,,,1793.711084,1.29,No,0,0,0,0,0,No,,3,rough,Known Road Acess,7.21,5.66,,943.93,unclassified
Tatchun,YT_Tatchun,Yukon,-136.120648,62.2886,594,666,-3.5,14.1,-24.3,2872,847,7807,12,114,13.6,40,0.091,185,13.60294118,PR,NA,NA,NA,NA,NA,Pike fishery,General Regulations,10612.82544,0.42,No,Yes,No,No,Yes,No,No,"Small lake, lake trout absent",4,Unpaved,Known Road Acess,47.66,17.17,Frenchman Lake Road,8584.4,Local / Str*
Tatlmain,YT_Tatlmain,Yukon,-135.96807,62.598,565,3381,-3.5,14.6,-25.5,2954,912,7815,16,117,26.8,48,0.77,180.5,6.735074627,NR,NA,NA,NA,NA,NA,"Historical overharvest, long history of First Nations fishing, Culture Camp",Special Management Water,20210.98594,NA,No,No,No,No,Yes,Yes,Yes,"Medium-large lake, moderate yield, large population, remote, minimal pressure",2,NA,NA,NA,NA,NA,NA,NA
Tatsamenie Lake,00620SHER,Skeena,-132.3721105,58.32319778,792,1621.367542,-0.2,12.2,-14.9,1651,743,6626,7,131,63,142,1.021461551,164,2.603174603,NR,NA,NA,NA,NA,NA,,,14014.19977,NA,Yes,0,0,0,1,0,No,,2,NA,NA,NA,NA,NA,NA,NA
Tatsatua Lake,00550SHER,Skeena,-132.4003785,58.44698157,725,76.96252328,-0.1,12.4,-14.8,1635,755,6591,8,130,6,12,0.004617751,96,16,NR,NA,NA,NA,NA,NA,,,1713.1206,NA,No,0,0,0,1,0,No,,1,NA,NA,NA,NA,NA,NA,NA
Tay (North Canol),YT_Tay North Canol,Yukon,-132.0346,62.3771,NA,977,-4.8,10.8,-22.3,2875,467,8308,3,87,30,NA,NA,157,5.233333333,NR,NA,NA,NA,NA,NA,,,10132.72401,NA,No,No,No,No,No,No,No,0,1,NA,NA,NA,NA,NA,NA,NA
Taye (Champagne),YT_Taye Champagne,Yukon,-136.355233,60.9322,716,843,-1.5,13.2,-15.8,2060,757,7071,8,121,2.45,4,0.021,91,37.14285714,FR,NA,NA,NA,NA,NA,,Conservation Water,8149.759289,NA,No,No,No,No,No,No,No,"Small lake, moderate yield, medium sized population, semi remote, unknown pressure",1,NA,NA,NA,NA,NA,NA,NA
Tchawshamon,YT_Tchawshamon,Yukon,-140.875024,61.9404,916,713,-3.3,11.9,-19.4,2510,602,7752,5,104,9.67,21,0.069,121,12.51292658,NR,NA,NA,NA,NA,NA,,Conservation Water,5987.950829,NA,No,No,No,No,No,No,No,"Small lake, moderate-low yield, unknown population size, remote, likely low pressure",1,NA,NA,NA,NA,NA,NA,NA
Tchentlo Lake,00920NATR,Omineca,-125.1535459,55.19276857,870,6638.875271,1.3,13,-12,1322,877,6062,11,142,28.86,NA,1.915979403,49,1.697851698,FR,NA,NA,NA,NA,NA,,,31479.8731,3.5,No,5,0,2,3,0,No,Tchentlo Lake Lodge; Nation Lakes chain campsites ,5,loose,Known Road Acess,21.23,0.25,,166.2,unclassified
Tchesinkut Lake,00601FRAN,Skeena,-125.6000653,54.09128692,743,3539.413211,2.6,13.7,-10.4,1073,1014,5613,16,150,62,149,2.194436191,78,1.258064516,PR,NA,NA,NA,NA,NA,,,17645.41646,0.35,Yes,2,120,0,1,0,No,Beaver Point resort,4,loose,Known Road Acess,49.07,0.8,,532.23,unclassified
Teenah,YT_Teenah,Yukon,-133.418927,60.299,875,240,-2.7,11.8,-19.5,2335,614,7537,5,103,9.35,23,0.022,110,11.76470588,NR,NA,NA,NA,NA,NA,,General Regulations,4394.54849,NA,No,No,No,No,Yes,No,No,"Small lake, low yield, small population, remote, likely low pressure",2,NA,NA,NA,NA,NA,NA,NA
Ten Mile,YT_Ten Mile,Yukon,-135.6016,61.495,NA,NA,-2.7,12.6,-18.5,2415,699,7516,7,107,NA,NA,NA,NA,NA,NR,NA,NA,NA,NA,NA,,,4219.204456,NA,No,No,No,No,No,No,No,0,1,NA,NA,NA,NA,NA,NA,NA
Teslin,00007TESR,SkeenaYT,-132.549377,60.0602,682,35400,-1.5,13.3,-19.3,2114,807,7099,9,124,59,214,20.8,64,1.084745763,PR,5559,0.157033898,1619,0.045734463,0.291239432,"Historical overharvest, long history of commercial and First Nations fishing",Special Management Water,125710.1121,0.19,Yes,0,0,0,0,2,Yes,other features in Yukon portion,4,Unpaved,Known Road Acess,141.6,0.59,Teslin Lake Subdivision,295.88,Local / Str*
Tetsa Lake,00166MMUS,Peace,-124.6195827,58.44328713,1366,55.39996563,-1.2,10.4,-12.7,1700,535,6987,3,112,6.2,NA,0.003434798,210,33.87096774,NR,NA,NA,NA,NA,NA,,,1383.972684,NA,Yes,0,0,0,0,0,No,,2,NA,NA,NA,NA,NA,NA,NA
Tezzeron Lake,01581LTRE,Omineca,-124.3901433,54.68241878,766,8078.831186,2,14,-11.9,1261,1022,5823,17,146,11,43.3,0.88867143,88,8,FR,NA,NA,NA,NA,NA,,,22818.24396,0.98,No,1,3,0,0,2,No,,3,rough,Known Road Acess,2.31,0.62,,104.07,unclassified
Thirtyseven Mile,YT_Thirtyseven Mile,Yukon,-135.953003,61.039,829,350,-2,12.8,-17.8,2218,729,7273,7,117,18.4,32,0.064,99,5.380434783,NR,NA,NA,NA,NA,NA,,General Regulations,4874.819704,NA,No,No,No,No,No,No,No,"Small lake, low yield, small population, remote lake, likely low pressure",1,NA,NA,NA,NA,NA,NA,NA
Three Kettle Lake,00864TURN,Peace,-129.1387166,58.39630673,1040,45.06682913,-1,11.3,-14.6,1772,625,6921,5,112,5,4.2,0.002253341,78,15.6,FR,NA,NA,NA,NA,NA,,,1356.926012,4.48,No,0,0,0,0,0,No,,4,loose,Known Road Acess,0,6.13,,4088.79,unclassified
Three Valley Lake,01002SHUL,Thompson,-118.4752492,50.93296261,506,145.8400858,6.4,18.1,-6,601,1787,4327,112,207,8.48,27.4,0.012367239,NA,NA,PR,NA,NA,NA,NA,NA,,,2707.605856,0.28,No,0,12,1,0,0,No,Three Valley Lake Chateau,4,loose,Known Road Acess,0.79,0.49,,328.27,unclassified
Tillei,YT_Tillei,Yukon,-129.499251,61.7777,910,2004,-4.2,12.1,-22.7,2837,620,8055,5,105,22.1,48,0.443,95,4.298642534,NR,NA,NA,NA,NA,NA,,General Regulations,15060.11665,NA,Yes,No,No,No,No,No,No,"Medium-size lake, moderate yield, unknown population size, remote ",2,NA,NA,NA,NA,NA,NA,NA
Tincup,YT_Tincup,Yukon,-139.240628,61.7751,819,1790,-3.6,11.8,-20.4,2626,592,7873,4,102,103,190,1.844,155,1.504854369,NR,NA,NA,NA,NA,NA,"Historical overharvest, fishing lodge",Conservation Water,14142.4838,NA,Yes,No,No,Yes,No,No,No,"Medium-size lake, moderate yield, medium sized population, remote, lodge lake but low pressure, recovering fishery",2,NA,NA,NA,NA,NA,NA,NA
Titetown Lake,00824EUCH,Cariboo,-123.8047118,53.31357599,833,258.5705468,2.3,14.1,-11.2,1186,1041,5710,18,137,9.79,NA,0.025314057,179,18.28396323,FR,NA,NA,NA,NA,NA,,,5156.419994,2.97,No,1,29,0,0,0,No,,4,loose,Known Road Acess,41.24,0.09,,61.54,unclassified
Tochcha Lake,01108TAKL,Omineca,-125.9517506,54.97528148,850,2891.035282,2,13.2,-10.7,1144,908,5824,12,145,22.33,NA,0.645568178,86,3.851321093,FR,NA,NA,NA,NA,NA,,,18649.55514,3.19,Yes,1,1,0,1,0,No,,2,rough,Possible Road Access,343.69,25.95,,4324.63,unclassified
Tomas Lake,01233STUL,Omineca,-124.9435931,54.54246747,1022,59.23347266,1.5,12.9,-11,1236,865,5998,10,143,4,9.8,0.002369339,80,20,FR,NA,NA,NA,NA,NA,,,1546.809337,1.54,No,0,0,0,0,0,No,,3,loose,Known Road Acess,71.05,2.75,,1831.25,unclassified
Tomias Lake,00049MESI,Omineca,-125.0480334,56.56101505,851,272.5166273,0.3,12.8,-14.5,1596,827,6451,9,130,7,39,0.019076164,66,9.428571429,NR,NA,NA,NA,NA,NA,,,6363.421108,9.3,Yes,0,0,0,0,0,No,,2,rough,Possible Road Access,2287.78,13.97,,2328.6,unclassified
Toobally-Lower,YT_Toobally-Lower,Yukon,-126.327094,60.1892,605,1060,-2.5,14.3,-21.5,2588,908,7442,14,124,18.8,58,0.199,155,8.244680851,NR,NA,NA,NA,NA,NA,Fishing Lodge,General Regulations,12706.66814,NA,Yes,No,No,Yes,No,No,No,"Medium-size lake, moderate yield, medium sized population, remote, lodge lake but low pressure",2,NA,NA,NA,NA,NA,NA,NA
Toobally-Upper,YT_Toobally-Upper,Yukon,-126.271488,60.368,635,983,-2.5,13.6,-20.4,2480,819,7447,10,118,32.4,75,0.318,167,5.154320988,NR,NA,NA,NA,NA,NA,,General Regulations,14756.64457,NA,No,No,No,No,No,No,No,"Small lake, lake trout believed absent, remote, likely low pressure",1,NA,NA,NA,NA,NA,NA,NA
Toodoggone Lake,01141TOOD,Omineca,-126.9501463,57.40560188,1145,155.8931414,-0.9,11.3,-13.9,1718,623,6866,5,115,10,31.5,0.015589314,54,5.4,NR,NA,NA,NA,NA,NA,,,4964.831303,NA,Yes,0,0,0,0,0,No,,2,NA,NA,NA,NA,NA,NA,NA
Tootsee Lake,00335LRAN,Skeena,-130.5644966,59.87582364,1116,443.8956343,-3.4,9.5,-16.3,2270,392,7777,2,91,10.59,51,0.047008548,34,3.210576015,FR,NA,NA,NA,NA,NA,,,9800.291741,NA,Yes,0,0,0,1,0,No,,2,NA,NA,NA,NA,NA,NA,NA
Trapper Lake,00527SHER,Skeena,-132.6408144,58.47647959,771,544.6925286,-0.8,11.9,-16.2,1800,703,6845,6,126,11.86,NA,0.064600534,NA,NA,NR,NA,NA,NA,NA,NA,,,6987.201212,NA,No,0,0,0,0,0,No,,1,NA,NA,NA,NA,NA,NA,NA
Trembleur Lake,00161UTRE,Omineca,-125.0606024,54.85388161,691,11623.67651,2.6,14.4,-11.4,1156,1092,5623,20,155,41,102.7,4.76570737,78,1.902439024,FR,NA,NA,NA,NA,NA,,,31763.05381,4.31,Yes,0,35,0,1,4,No,,2,rough,Possible Road Access,300.06,1.11,,185.09,unclassified
Trout Lake,00941GLAR,Skeena,-132.7533512,59.68547609,876,429.9888439,-2,12,-18.1,2096,652,7285,5,112,8,27,0.034399108,44,5.5,NR,NA,NA,NA,NA,NA,,,5756.690477,NA,Yes,0,0,0,0,0,No,,2,NA,NA,NA,NA,NA,NA,NA
Tsayta Lake,00347NATR,Omineca,-125.4078026,55.4564078,880,1974.46985,0.9,12.4,-13,1404,800,6239,8,132,16.34,NA,0.322628374,72,4.406364749,FR,NA,NA,NA,NA,NA,,,18892.3589,4.64,No,4,0,1,1,0,No,Tsayta Lodge; a few Nation Lakes canoe chain campsites; 1 boat launch,3,rough,Known Road Acess,59.2,1.06,,176.12,unclassified
Tuchodi Lower Lake,00363MMUS,Peace,-124.3587534,58.2258075,868,432.1359531,-0.7,12.5,-14.8,1775,758,6783,7,121,7,19,0.030249517,206,29.42857143,NR,NA,NA,NA,NA,NA,,,6445.403658,NA,Yes,0,0,0,1,0,No,one cabin here for sure,2,NA,NA,NA,NA,NA,NA,NA
Tuchodi Upper Lake,00366MMUS,Peace,-124.5476937,58.1898964,878,751.0603172,-0.5,12.9,-15.2,1792,804,6743,9,124,20,42.5,0.150212063,192,9.6,NR,NA,NA,NA,NA,NA,,,9906.043214,NA,Yes,0,0,0,0,0,No,,2,NA,NA,NA,NA,NA,NA,NA
Turnagain Lake,01241TURN,Peace,-129.1742521,58.28161375,1070,173.9450247,-1.2,11,-14.8,1803,593,7000,4,110,6.64,NA,0.01154995,110,16.56626506,FR,NA,NA,NA,NA,NA,,,3915.6665,5.51,Yes,0,0,0,1,0,No,,2,rough,Known Road Acess,13.55,10.29,,1715.8,unclassified
Turtle Lake,00156TUTR,Skeena,-134.215037,59.83288589,684,381.1019147,-0.6,12.8,-15.9,1798,776,6768,8,131,10.53,65,0.040130032,210,19.94301994,NR,NA,NA,NA,NA,NA,,,5960.206469,NA,No,0,0,0,0,0,No,,1,NA,NA,NA,NA,NA,NA,NA
Tutizzi Lake,00757MESI,Omineca,-125.6922304,56.30503282,1034,533.1475384,-0.5,11.5,-14.4,1659,664,6729,5,120,12,30,0.063977705,33,2.75,FR,NA,NA,NA,NA,NA,,,9357.97596,NA,Yes,0,1,0,1,0,No,,2,NA,NA,NA,NA,NA,NA,NA
Tutshi Lake,00051TUTR,Skeena,-134.7115717,59.93345598,714,5266.879124,-2.2,10.8,-16.5,2004,513,7349,3,109,88,197,4.63485363,42,0.477272727,PR,NA,NA,NA,NA,NA,,,30861.78795,0.16,No,1,0,0,0,0,No,informal rec site with launch,4,paved,Known Road Acess,1.24,0.13,picnicarea,176.85,recreation
Twin (East),YT_Twin East,Yukon,-135.917742,61.700855,630,61,-3.2,13.7,-22.2,2754,832,7699,11,111,14.6,34,0.009,415,28.42465753,PR,NA,NA,NA,NA,NA,,Special Management Water,1232.10019,0.56,No,Yes,No,No,No,No,No,"Small lake, very low yield, very small population, likely high pressure (proximity to highway)",4,Paved,Known Road Acess,57.22,6.57,Klondike Highway,9853.96,Expressway *
Twin (West),YT_Twin West,Yukon,-135.939143,61.697,629,153,-3.2,13.8,-22.4,2751,840,7688,11,112,16.1,43,0.025,259.3333333,16.10766045,PR,1520,9.934640523,132,0.862745098,0.086842105,,Special Management Water,2482.291939,0.56,No,Yes,No,No,Yes,No,No,"Small lake, very low yield, very small population, likely high pressure (proximity to highway)",4,Unpaved,Known Road Acess,5.29,0.27,None,136.15,Local / Str*
Twin Lakes,YT_Twin Lakes,Yukon,-135.939143,61.697,629,214,-3.2,13.8,-22.4,2751,840,7688,11,112,NA,NA,NA,NA,NA,PR,NA,NA,NA,NA,NA,,,2482.291939,0.56,No,Yes,No,No,Yes,No,No,#N/A,4,Unpaved,Known Road Acess,5.29,0.27,None,136.15,Local / Str*
Uncha Lake,01828FRAN,Skeena,-125.6511432,53.91579708,772,1340.038229,2.5,13.6,-10.3,1074,1005,5626,16,148,17,36.9,0.227806499,98,5.764705882,FR,NA,NA,NA,NA,NA,,,12152.42566,1.35,No,2,47,0,0,3,No,Moosehorn Lodge,3,rough,Known Road Acess,45.44,1.29,,214.29,unclassified
Unnamed Lake d/s of Atna Lake,01586MORR,Skeena,-127.7618028,54.01792262,774,6.793500725,1.6,11.9,-9,1089,747,5972,7,134,4.2,NA,0.000285327,NA,NA,NR,NA,NA,NA,NA,NA,,,462.0223115,NA,No,0,0,0,0,0,No,,1,NA,NA,NA,NA,NA,NA,NA
Unnamed Lake east of Knapp Lake,00175CHES,Skeena,-125.1806337,53.8082254,885,87.93712085,2.5,13.7,-9.9,1071,988,5649,15,148,8,17,0.00703497,4,0.5,NR,NA,NA,NA,NA,NA,,,2108.668545,1.41,No,0,0,0,0,0,No,,3,loose,Possible Road Access,1901.16,5.65,Binta Knapp FSR,3767.64,resource
Upper Tootsee Lake,00354LRAN,Skeena,-130.6539251,59.87142628,1119,307.6207411,-3.4,9.7,-16.8,2296,414,7772,2,92,17,59.8,0.052295526,68,4,FR,NA,NA,NA,NA,NA,,,5563.732371,NA,Yes,0,0,0,0,0,No,,2,NA,NA,NA,NA,NA,NA,NA
Uslika Lake,00249LOMI,Omineca,-125.2313754,56.08642785,897,159.1263256,0.1,12.3,-14.3,1584,759,6509,7,123,29,62,0.046146634,22,0.75862069,NR,NA,NA,NA,NA,NA,,,2848.721034,6.43,Yes,1,0,0,1,0,No,,2,rough,Known Road Acess,24.45,0.77,,128.19,unclassified
Victor Lake,00990SHUL,Thompson,-118.3965873,50.95744894,539,8.331801256,6,17.8,-6.4,648,1721,4449,100,202,3.89,15.2,0.000324107,NA,NA,PR,NA,NA,NA,NA,NA,,,677.3787368,0.19,No,1,0,0,0,0,No,,4,paved,Known Road Acess,30.94,2.39,Trans-Canada Hwy,3983.55,highway
Vines Lake,00285DEAL,Skeena,-129.7381275,59.20487314,955,72.18725473,-1.8,11.7,-16.3,2026,623,7190,5,115,13,70.8,0.009384343,NA,NA,FR,NA,NA,NA,NA,NA,,,2303.846819,0.62,No,1,3,0,0,0,No,informal rec site?,4,rough,Known Road Acess,0.59,0.79,,131.83,unclassified
Wareham,YT_Wareham,Yukon,-135.86027,63.6802,575,311,-3.6,15.5,-26.5,3081,1004,7859,23,127,NA,NA,NA,NA,NA,FR,NA,NA,NA,NA,NA,,,2923.780533,0.2,No,No,No,No,Yes,No,No,0,4,Unpaved,Possible Road Access,269.05,0.47,None,236.72,Local / Str*
Wasi Lake,00274LOMI,Omineca,-125.0809282,56.07065009,849,182.9757969,0.4,12.8,-14.2,1553,827,6392,9,129,13,45,0.023786854,68,5.230769231,NR,NA,NA,NA,NA,NA,,,4140.937215,8.55,No,0,0,0,0,0,No,,4,unknown,Possible Road Access,1088.11,11.82,,985.17,unclassified
Watson,YT_Watson,Yukon,-128.821144,60.1058,680,1320,-2.5,14.8,-22.5,2682,979,7448,19,131,14.5,32,0.191,140,9.655172414,PR,2543,1.926515152,65,0.049242424,0.025560362,,Special Management Water,9214.402617,0.26,No,Yes,Yes,Yes,Yes,No,No,"Medium-size lake, moderate yield, medium-sized population, easy access, suspected increase in trout harvest",5,Unpaved,Known Road Acess,31.9,0.65,None,324.18,Local / Str*
